res_id,name,cuisines,average_cost_for_two,currency,price_range,location,city,latitude,longitude,rating,votes,rating_text,rating_color,has_online_delivery,has_table_booking,is_delivering_now,country_id,locality,zipcode,photos_url,menu_url
17066603,The Coop,"Southern, Cajun, Soul Food",25,$,2,"610 W Morse Boulevard, Winter Park, FL 32789",Orlando,28.5973660000,-81.3572190000,3.6,432,Good,9ACD32,0,0,0,216,Winter Park,32789,https://www.zomato.com/orlando/the-coop-winter-park/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/orlando/the-coop-winter-park/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17059541,Maggiano's Little Italy,Italian,50,$,4,"9101 International Drive,Orlando, FL 32819",Orlando,28.4332350000,-81.4714470000,4.4,886,Very Good,5BA829,0,0,0,216,I-Drive/Universal,32819,https://www.zomato.com/orlando/maggianos-little-italy-i-drive-universal/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/orlando/maggianos-little-italy-i-drive-universal/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17064405,Tako Cheena by Pom Pom,"Asian, Latin American, Vegetarian",10,$,1,"932 North Mills Avenue, Orlando, FL 32803",Orlando,28.5578450000,-81.3645470000,4.4,570,Very Good,5BA829,0,0,0,216,Mills 50,32803,https://www.zomato.com/orlando/tako-cheena-by-pom-pom-orlando/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/orlando/tako-cheena-by-pom-pom-orlando/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17057797,Bosphorous Turkish Cuisine,"Mediterranean, Turkish",40,$,3,"108 S Park Ave, Winter Park, FL 32789",Orlando,28.5976271000,-81.3508344000,4.2,568,Very Good,5BA829,0,0,0,216,Winter Park,32789,https://www.zomato.com/orlando/bosphorous-turkish-cuisine-winter-park/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/orlando/bosphorous-turkish-cuisine-winter-park/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17057591,Bahama Breeze Island Grille,Caribbean,45,$,3,"8849 International Drive, Orlando, FL 32819",Orlando,28.4370650000,-81.4715260000,4.3,910,Very Good,5BA829,0,0,0,216,I-Drive/Universal,32819,https://www.zomato.com/orlando/bahama-breeze-island-grille-1-orlando/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/orlando/bahama-breeze-island-grille-1-orlando/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17064266,Hawkers Asian Street Fare,"Asian, Thai",35,$,3,"1103 N Mills Avenue, Orlando, FL 32803",Orlando,28.5605050000,-81.3643470000,4.6,1293,Excellent,3F7E00,0,0,0,216,Mills 50,32803,https://www.zomato.com/orlando/hawkers-asian-street-fare-mills-50/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/orlando/hawkers-asian-street-fare-mills-50/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17060516,Seasons 52 Fresh Grill,American,60,$,4,"7700 West Sand Lake Road, Orlando, FL 32819",Orlando,28.4481750000,-81.4879780000,4.4,1685,Very Good,5BA829,0,0,0,216,Restaurant Row,32819,https://www.zomato.com/orlando/seasons-52-fresh-grill-orlando/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/orlando/seasons-52-fresh-grill-orlando/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17060320,Raglan Road Irish Pub and Restaurant,Irish,50,$,4,"1640 E Buena Vista Drive, Lake Buena Vista, FL 32830",Orlando,28.3713380000,-81.5177250000,4.3,782,Very Good,5BA829,0,0,0,216,Disney: Downtown Disney,32830,https://www.zomato.com/orlando/raglan-road-irish-pub-and-restaurant-disney-downtown-disney/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/orlando/raglan-road-irish-pub-and-restaurant-disney-downtown-disney/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17059060,Hillstone,,40,$,3,"215 South Orlando Avenue, Winter Park, FL 32789",Orlando,28.5966820000,-81.3652600000,4.4,1158,Very Good,5BA829,0,0,0,216,Winter Park,32789,https://www.zomato.com/orlando/hillstone-winter-park/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/orlando/hillstone-winter-park/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17059012,Hollerbach's Willow Tree Café,German,40,$,3,"205 East 1st Street, Sanford, FL 32771",Orlando,28.8116530000,-81.2668710000,4.8,1699,Excellent,3F7E00,0,0,0,216,Sanford,32771,https://www.zomato.com/orlando/hollerbachs-willow-tree-café-sanford/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/orlando/hollerbachs-willow-tree-café-sanford/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
